Timestamp,Year,Ever worked as a K-12 classroom teacher? (Choose one.),Hours you currently work per week at a paid job,Hours outside class spent on EDU-790 per week (enter response as a number),Number of OTHER classes you are taking now (enter response as a number),Hours outside class spent on OTHER classes per week (enter response as a number),Percent of US adults age 25+ w/ advanced degree (number only),Percent of US adults age 25+ with at least a bachelor's degree (number only),Percent of US adults age 25+ with at least a high school diploma or GED (number only),Percent of AU class of 2015 who studied abroad as undergraduates (number only),Percent of US college graduates who have studied abroad (number only),K-12 students should be able to attend any public school in their vicinity that they choose,Public charter schools should be able to compete for students with traditional public schools,Low-income students should be able to use publicly funded vouchers to offset the cost of private school,"Any student, regardless of income, should be able to use publicly funded vouchers to offset the cost of private school",With which AU SOE program are you affiliated?
2/7/2019 19:09,2019,Yes,20,5,3,8,70,45,80,59,54,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ITEP
2/7/2019 19:16,2019,Yes,23,1,2,10,5,25,80,60,25,Strongly agree,Moderately agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:17,2019,No,42,2,1,4,20,40,80,50,20,Strongly agree,Moderately disagree,Moderately agree,Moderately disagree,ITEP
2/7/2019 19:17,2019,Yes,0,3,2,6,40,90,95,50,45,Strongly agree,Moderately agree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,55,3,2,6,30,45,60,50,20,Neither agree nor disagree,Moderately agree,Moderately agree,Moderately disagree,ITEP
2/7/2019 19:18,2019,Yes,30,3,2,10,50,35,70,40,10,Strongly agree,Strongly agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,40,1,1,4,25,75,90,50,,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:18,2019,Yes,40,3,1,6,45,55,67,85,43,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:19,2019,Yes,32,1,1,9,15,30,65,12,7,Moderately disagree,Moderately disagree,Strongly agree,Strongly disagree,ITEP
2/7/2019 19:19,2019,Yes,35,2,0,0,29,63,88,78,46,Moderately disagree,Strongly agree,Strongly agree,Moderately agree,ITEP
2/7/2019 19:19,2019,Yes,30,3,2,10,,45,65,10,2,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:19,2019,Yes,40,5,1,5,25,50,25,80,65,Moderately agree,Moderately agree,Moderately agree,Moderately agree,ITEP
2/7/2019 19:19,2019,No,0,15,3,20,60,70,60,70,50,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/7/2019 19:20,2019,Yes,20,1,2,6,25,40,60,35,20,Moderately agree,Moderately disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/7/2019 19:20,2019,Yes,35,5,2,10,15,10,75,0,10,Strongly agree,Moderately agree,Strongly agree,Strongly disagree,ITEP
2/7/2019 19:20,2019,Yes,45,4,2,5,25,48,69,38,35,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:21,2019,Yes,25,2,2,9,10,32,85,60,5,Moderately agree,Moderately disagree,Moderately agree,Strongly disagree,ITEP
2/7/2019 19:22,2019,Yes,8,4,2,4,60,70,88,20,30,Moderately agree,Moderately agree,Strongly agree,Moderately disagree,ITEP
2/7/2019 19:23,2019,No,10,5,5,20,10,30,80,10,5,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,ITEP
2/4/2020 18:55,2020,No,35,3,1,3,75,80,90,60,50,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,EPL
2/4/2020 19:11,2020,Yes,40,2,1,3,,35,73,62,45,Moderately agree,Moderately disagree,Strongly disagree,Strongly disagree,EPL
2/4/2020 19:12,2020,Yes,45,1,1,3,40,60,65,75,33,Neither agree nor disagree,Neither agree nor disagree,Moderately agree,Moderately disagree,EPL
2/4/2020 19:12,2020,No,10,5,1,5,20,60,80,30,20,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,EPL
2/4/2020 19:12,2020,Yes,40,1,1,1,30,45,65,10,5,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,EPL
2/4/2020 19:13,2020,Yes,45,1,1,3,13,50,80,30,20,Moderately agree,Moderately agree,Moderately agree,Moderately agree,EPL
2/4/2020 19:13,2020,Yes,15,3,2,7,30,60,80,20,8,Neither agree nor disagree,Neither agree nor disagree,Moderately agree,Moderately disagree,EPL
2/4/2020 19:13,2020,Yes,50,5,1,5,50,30,75,50,50,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,EPL
2/4/2020 19:14,2020,Yes,40 hrs,1,1,6,80,85,40,45,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,EPL
2/4/2020 19:15,2020,No,0,2,1,1,45,64,90,66,25,Strongly agree,Moderately disagree,Strongly agree,Strongly disagree,EPL
2/4/2020 19:15,2020,Yes,45,1,1,2,40,75,90,50,45,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,EPL
2/4/2020 19:15,2020,Yes,40,1,1,4,20,60,85,60,50,Moderately agree,Moderately agree,Strongly agree,Moderately agree,EPL
2/4/2020 19:16,2020,No,40,2,0,0,20,48,65,35,20,Strongly agree,Moderately disagree,Moderately disagree,Moderately disagree,EPL
2/4/2020 19:16,2020,Yes,80,2,1,5,35,60,75,12,20,Moderately agree,Moderately disagree,Strongly agree,Moderately disagree,EPL
2/4/2020 19:16,2020,No,0,3,3,6,40,60,75,55,30,Strongly agree,Moderately agree,Strongly agree,Neither agree nor disagree,EPL
2/4/2020 19:16,2020,Yes,37.5,1,1,2,18,37,63,24,38,Strongly agree,Neither agree nor disagree,Strongly agree,Moderately agree,EPL
2/4/2020 19:17,2020,No,40,1,1,4,22,45,77,34,50,Strongly agree,Neither agree nor disagree,Moderately disagree,Moderately disagree,EPL
2/4/2020 19:17,2020,Yes,49.5,3,1,2,19,34,78,34,23,Moderately disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,EPL
2/4/2020 19:19,2020,No,50,2,1,4,35,50,65,30,30,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,EPL
2/4/2020 19:19,2020,Yes,75,2,1,3,20,30,70,15,15,Moderately agree,Strongly disagree,Strongly agree,Moderately disagree,EPL
2/6/2020 19:25,2020,No,40,2,1,2,15,40,75,20,6,Moderately agree,Moderately agree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:28,2020,No,15,2,2,10,35,50,70,21,25,Moderately agree,Moderately agree,Moderately agree,Moderately disagree,ITEP
2/6/2020 19:28,2020,Yes,54,2,1,2,8,50,80,10,3,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,Moderately disagree,EPL
2/6/2020 19:29,2020,Yes,40,3,2,6,35,70,88,50,60,Neither agree nor disagree,Moderately agree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:31,2020,No,0,2h,5,20,60%,80%,90%,5%,10%,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Moderately disagree,ITEP
2/6/2020 19:33,2020,Yes,0,1,2,5,10,40,20,5,6,Strongly agree,Moderately disagree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:33,2020,Yes,40,2,1,4,13,36,77,35,15,Strongly agree,Moderately disagree,Moderately agree,Moderately disagree,EPL
2/6/2020 19:33,2020,Yes,16,2,3,15,25,40,20,20,20,Strongly agree,Strongly agree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:33,2020,Yes,35,0,2,10,48,51,64,21,38,Moderately agree,Moderately disagree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:33,2020,No,35,1,2,2,20,50,30,40,25,Strongly agree,Neither agree nor disagree,Strongly agree,Moderately agree,ITEP
2/6/2020 19:34,2020,Yes,0,2,2,6,30,25,90,60,20,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/6/2020 19:34,2020,No,40,3,1,4,45,56,63,77,48,Strongly agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/6/2020 19:48,2020,No,0,6,5,20,80,65,70,45,55,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately disagree,ITEP
2/9/2020 15:58,2020,Yes,45,1,1,2,35,63,72,26,41,Moderately agree,Moderately disagree,Moderately agree,Moderately agree,EPL
2/8/2017 20:49,2017,Yes,10,3,2,6,12,33,88,55,9,Moderately agree,Moderately agree,Moderately disagree,Moderately disagree,EPL
2/8/2017 21:09,2017,Yes,0,2,1,4,7,25,96,40,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,EPL
2/9/2017 18:09,2017,Yes,15,1.5,3,6,42,72,88,48,23,Strongly agree,Neither agree nor disagree,Moderately disagree,Strongly disagree,ITEP
2/9/2017 18:35,2017,Yes,50,2,1,2,13,40,85,30,10,Moderately agree,Moderately agree,Moderately disagree,Strongly disagree,EPL
2/9/2017 18:35,2017,Yes,40,3,0,0,20,60,85,45,25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately disagree,EPL
2/9/2017 18:39,2017,No,40,0.5,2,4,45,75,85,60,5,Moderately agree,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/9/2017 18:39,2017,Yes,25,1,2,5,10,35,80,70,3,Moderately agree,Moderately agree,Moderately agree,Strongly disagree,ITEP
2/9/2017 18:35,2017,Yes,35,4,1,4,30,40,60,70,20,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately agree,ITEP
2/9/2017 18:36,2017,Yes,30,2,2,4,30,47,86,68,39,Moderately agree,Moderately disagree,Strongly agree,Moderately disagree,ITEP
2/9/2017 18:39,2017,No,0,3,2,10,10,32,80,70,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Moderately disagree,ITEP
2/9/2017 18:36,2017,Yes,40,1,2,3,15,70,80,50,50,Strongly agree,Moderately disagree,Moderately disagree,Moderately disagree,ITEP
2/9/2017 18:36,2017,Yes,16,1,2,4,40,70,80,40,50,Moderately agree,Moderately disagree,Moderately disagree,Moderately disagree,ITEP
2/9/2017 18:36,2017,Yes,50,2,1,2,15,30,60,50,30,Strongly agree,Moderately agree,Strongly disagree,Strongly disagree,EPL
2/9/2017 18:37,2017,No,0,4.5,2,9,15,40,90,80,20,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ITEP
2/9/2017 18:36,2017,Yes,60,2,1,2,9,20,80,30,15,Moderately agree,Moderately agree,Moderately disagree,Strongly disagree,EPL
2/9/2017 18:37,2017,Yes,20,1,2,4,34,50,87,80,30,Moderately disagree,Moderately disagree,Moderately disagree,Moderately disagree,ITEP
2/9/2017 18:37,2017,Yes,40,2,1,3,12,35,55,5,7,Moderately agree,Moderately agree,Neither agree nor disagree,Moderately disagree,EPL
2/9/2017 18:37,2017,Yes,47,2,1,15,15,40,65,45,40,Moderately disagree,Moderately disagree,Strongly agree,Moderately agree,ITEP
2/9/2017 18:37,2017,Yes,50,2,3,10,10,30,50,60,30,Neither agree nor disagree,Moderately disagree,Strongly disagree,Strongly disagree,EPL
2/9/2017 18:38,2017,Yes,35,3,1,6,15,40,60,40,20,Moderately disagree,Strongly disagree,Strongly disagree,Strongly disagree,ITEP
2/9/2017 18:39,2017,Yes,NA,2,2,10,30,35,60,35,40,Strongly agree,Neither agree nor disagree,Moderately agree,Moderately agree,ITEP
2/9/2017 18:39,2017,Yes,30,2,2,4,12,55,75,60,15,Neither agree nor disagree,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/9/2017 18:39,2017,Yes,20,2,2,10,10,40,90,4,1,Moderately disagree,Moderately disagree,Neither agree nor disagree,Strongly disagree,ITEP
2/9/2017 18:39,2017,No,40,1,2,13,16,58,75,70,3,Moderately agree,Moderately disagree,Moderately agree,Moderately disagree,ITEP
2/9/2017 18:40,2017,No,36,2,2,7,15,55,85,40,8,Moderately agree,Neither agree nor disagree,Moderately agree,Strongly disagree,ITEP
2/16/2017 16:27,2017,Yes,20,44,1,44,25,33,35,12,35,Strongly agree,Neither agree nor disagree,Moderately agree,Moderately agree,EPL
2/8/2018 17:54,2018,Yes,20,1,2,4,12,65,92,38,18,Moderately agree,Strongly disagree,Neither agree nor disagree,Moderately disagree,ITEP
2/8/2018 18:54,2018,Yes,35,10,1,8,20,50,90,70,20,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ITEP
2/8/2018 18:55,2018,Yes,21,2,2,6,47,80,90,80,75,Moderately agree,Strongly disagree,Moderately agree,Moderately agree,ITEP
2/8/2018 18:55,2018,Yes,45,3,1,1,13,20,60,30,10,Strongly agree,Moderately agree,Strongly agree,Strongly disagree,ITEP
2/8/2018 18:55,2018,Yes,35,1,0,0,15,57,25,70,20,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,EPL
2/8/2018 18:55,2018,Yes,40,2,2,6,45,35,86,60,25,Strongly agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/8/2018 18:55,2018,No,4,1,2,12,10,40,90,40,20,Moderately agree,Strongly agree,Strongly agree,Neither agree nor disagree,ITEP
2/8/2018 18:55,2018,No,20,4,2,8,20,40,70,50,12,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,ITEP
2/8/2018 18:56,2018,No,48,1.5,0,0,10,60,90,80,65,Moderately agree,Moderately disagree,Moderately agree,Moderately disagree,EPL
2/8/2018 18:56,2018,Yes,27,1,2,4,60,70,80,50,30,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately agree,ITEP
2/8/2018 18:56,2018,Yes,35,2,2,5,25,70,80,50,35,Moderately agree,Neither agree nor disagree,Strongly agree,Moderately disagree,ITEP
2/8/2018 18:56,2018,Yes,42,1,1,4,25,55,82,70,40,Strongly agree,Neither agree nor disagree,Moderately agree,Moderately disagree,ITEP
2/8/2018 18:56,2018,Yes,35,2,1,16,12,35,60,70,10,Strongly agree,Moderately disagree,Moderately agree,Moderately disagree,ITEP
2/8/2018 18:56,2018,Yes,20,0.5,2,6,65,50,70,65,10,Moderately agree,Moderately agree,Moderately agree,Neither agree nor disagree,ITEP
2/8/2018 18:56,2018,Yes,37.5,1,1,3,20,70,80,75,30,Moderately agree,Neither agree nor disagree,Moderately agree,Moderately disagree,ITEP
2/8/2018 18:56,2018,Yes,30,1,2,7,22,38,79,60,30,Strongly agree,Neither agree nor disagree,Moderately agree,Strongly disagree,ITEP
2/8/2018 18:56,2018,Yes,40,3,1.5,4,13,67,85,45,12,Neither agree nor disagree,Moderately disagree,Strongly agree,Neither agree nor disagree,ITEP
2/8/2018 18:56,2018,Yes,50,2,2,6,25,70,90,90,5,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,ITEP
2/8/2018 18:56,2018,Yes,20,4,1,10,50,60,90,70,45,Strongly agree,Moderately disagree,Moderately disagree,Moderately disagree,ITEP
2/8/2018 18:57,2018,No,25,1,2,5,15%,45%,75%,80%,13%,Moderately agree,Moderately disagree,Moderately agree,Moderately disagree,ITEP
2/8/2018 18:57,2018,Yes,11,2,2,6,12,18,25,10,5,Strongly agree,Moderately agree,Moderately agree,Moderately disagree,ITEP
2/8/2018 18:57,2018,Yes,20,3,2,6,30,20,100,15,30,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,ITEP
2/8/2018 18:57,2018,Yes,16,1,2,5,21,13,68,70,3,Neither agree nor disagree,Moderately disagree,Neither agree nor disagree,Neither agree nor disagree,ITEP
2/8/2018 18:57,2018,No,45,6,0,0,35,30,85,85,25,Moderately disagree,Moderately disagree,Strongly disagree,Strongly disagree,EPL
2/15/2018 11:04,2018,Yes,40,1,2,3,49,60,75,100,35,Moderately agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,ITEP
